title,url,thumbnail_url,channel_name,views_days,description
Stranger Things 4 | Volume 2 Trailer | Netflix,https://www.youtube.com/watch?v=sBEvEcpnG7k,https://i.ytimg.com/vi/sBEvEcpnG7k/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlmMnagWJvAQRAhwi9044FguyB6g,Stranger Things,"Stranger Things
3.3M views
6 days ago","It might not work out for us this time. The epic 2-part season finale of Stranger Things 4 premieres July 1st, only on Netflix."
Smile | Official Trailer (2022 Movie),https://www.youtube.com/watch?v=BcDK7lkzzsU,https://i.ytimg.com/vi/BcDK7lkzzsU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvD01fUmIYXQ3DDISvxv8sTYwZZA,Paramount Pictures,"Paramount Pictures
6M views
5 days ago","Once you see it, it’s too late. Watch the official trailer for #SmileMovie - Only in theatres September 30. You will never trust a smile again… Try the new #SmileMovie TikTok Effect now:..."
Zombies 3 | Official Trailer | Disney+,https://www.youtube.com/watch?v=EGsoC0bWakU,https://i.ytimg.com/vi/EGsoC0bWakU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChbrCI3XsCHB86wx2NRrP7Bf-fqQ,Disney Plus,"Disney Plus
2.9M views
3 days ago","There’s a new crew at Seabrook High this semester. #ZOMBIES3, an Original movie, is streaming July 15 on #DisneyPlus! For more updates, subscribe to Disney, Pixar, Marvel, Star Wars, and..."
Marvel Studios' Thor: Love and Thunder | Official Trailer,https://www.youtube.com/watch?v=Go8nTmfrQd8,https://i.ytimg.com/vi/Go8nTmfrQd8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_OkO8_aac9ZIRZUAP9DZB4Ri83g,Marvel Entertainment,"Marvel Entertainment
43M views
1 month ago","“Let me tell you the story of the space viking, Thor Odinson…” Watch the brand-new trailer for Marvel Studios’ Thor: Love and Thunder and witness it only in theaters July 8. ► Watch..."
"LYLE, LYLE, CROCODILE – Official Teaser Trailer (HD)",https://www.youtube.com/watch?v=kSHecHtkXAc,https://i.ytimg.com/vi/kSHecHtkXAc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCKXB7DgUnWsy_8jyt4kF8Ykbpr5w,Sony Pictures Entertainment,"Sony Pictures Entertainment
8.6M views
5 days ago","One little discovery, one giant adventure! 🐊 Watch the new trailer for #LyleLyleCrocodile, starring Shawn Mendes, Javier Bardem and Constance Wu. Coming to theaters in a while, crocodile...."
STRANGER THINGS 4 (2022) Behind-the-Scenes Footage,https://www.youtube.com/watch?v=H5S1M8pG6dU,,JoBlo Horror Trailers,"JoBlo Horror Trailers
8.2M views
2 weeks ago","STRANGER THINGS 4 (2022) Behind-the-Scenes Footage PLOT: It's March of 1986 and the Hawkins crew are older, wiser, and still in danger as they prepare to battle the forces of the Upside Down,..."
Roald Dahl’s Matilda the Musical | Official Teaser | Netflix,https://www.youtube.com/watch?v=EzKASl2T9d0,,Netflix,"Netflix
825K views
12 days ago",Meet the exception to the rules. Coming soon. SUBSCRIBE: http://bit.ly/29qBUt7 About Netflix: Netflix is the world's leading streaming entertainment service with 222 million paid...
"White Bird: A Wonder Story (2022 Movie) Official Trailer – Helen Mirren, Gillian Anderson",https://www.youtube.com/watch?v=MOi0b6pk3c8,,Lionsgate Movies,"Lionsgate Movies
5.4M views
3 days ago","White Bird: A Wonder Story – In Theaters October 14, 2022. Helen Mirren, Gillian Anderson, Bryce Gheisar, Ariella Glaser, Orlando Schwerdt Subscribe to the LIONSGATE: YouTube Channel for..."
BRAHMĀSTRA OFFICIAL TRAILER | Hindi | Amitabh | Ranbir | Alia | Ayan | In Cinemas 9th September,https://www.youtube.com/watch?v=BUjXzrgntcY,,Sony Music India,"Sony Music India
13M views
12 days ago",Presenting the official Trailer of Brahmāstra. Get ready to experience a new world of Ancient Indian Astras and the magic of this extraordinary journey. Brahmāstra Part One: Shiva. In cinemas....
Pinocchio | Teaser Trailer | Disney+,https://www.youtube.com/watch?v=2vNVGZGlUok,,Walt Disney Studios,"Walt Disney Studios
2.5M views
3 weeks ago","When you wish upon a star…⭐ Watch the trailer for the all-new live action #Pinocchio and stream the movie, a #DisneyPlusDay premiere, September 8 on @DisneyPlus. 🧚🪄 The global celebratio..."
